Severity,Humidity(%),Weather_Condition,Bump,Crossing,Junction,Roundabout,Stop,Traffic_Signal,Sunrise_Sunset,Temperature_C,Wind_Speed_ms,Visibility_km,Hour,DayOfWeek
2,60.0,121,0,0,0,0,0,0,1,21.0,4.6,16.1,19,3
3,83.0,90,0,0,0,0,0,0,1,12.8,2.7,16.1,7,1
2,91.0,32,0,0,0,0,0,1,1,27.2,5.4,16.1,1,5
2,70.0,90,0,1,0,0,0,0,1,17.8,4.5,16.1,4,1
2,90.0,90,0,0,0,0,0,0,1,18.3,4.0,16.1,8,1
2,86.0,121,0,0,1,0,0,0,1,-6.0,3.1,16.1,4,4
2,55.0,90,0,0,0,0,0,0,1,32.8,4.5,16.1,16,6
2,81.0,90,0,0,0,0,0,0,1,21.7,5.4,16.1,21,3
3,51.0,90,0,1,0,0,0,0,1,12.8,8.9,16.1,12,1
2,43.0,40,0,0,0,0,0,0,1,31.7,3.6,16.1,17,3
2,67.0,36,0,0,0,0,0,1,1,2.8,7.2,16.1,10,3
2,89.0,5,0,0,0,0,0,0,1,6.7,8.0,8.0,18,3
2,59.0,90,0,0,0,0,0,0,1,23.3,7.2,16.1,14,5
3,90.0,44,0,0,0,0,0,0,1,13.3,4.0,8.0,17,2
2,61.0,90,0,1,0,0,1,0,1,32.8,3.6,16.1,16,4
2,85.0,36,0,0,0,0,0,0,1,-1.7,3.1,11.3,9,0
2,97.0,90,0,0,0,0,0,0,1,18.9,0.0,16.1,0,0
2,19.0,40,0,1,0,0,0,1,1,18.0,3.1,16.1,16,4
1,33.0,90,0,0,0,0,0,0,1,27.2,3.1,16.1,13,5
2,93.0,5,0,0,1,0,0,0,1,3.9,2.7,3.2,8,4
2,71.0,14,0,0,0,0,0,0,1,11.7,3.1,16.1,15,5
2,39.0,44,0,0,0,0,0,0,1,30.6,4.0,16.1,8,4
2,50.0,142,0,0,0,0,0,1,1,23.9,3.1,16.1,14,0
2,80.0,32,0,0,0,0,0,0,1,10.6,3.1,16.1,8,0
2,100.0,142,0,0,0,0,1,0,1,9.0,3.1,14.5,8,3
2,21.0,90,0,0,1,0,0,0,1,23.9,3.1,16.1,10,3
2,73.0,14,0,0,0,0,0,0,1,14.4,1.3,11.3,4,1
2,83.0,44,0,0,0,0,0,1,1,8.9,3.1,11.3,17,1
2,49.0,90,0,0,0,0,0,0,1,21.1,3.1,16.1,8,4
2,84.0,90,0,0,0,0,0,0,1,22.8,3.6,16.1,22,6
2,83.0,32,0,0,0,0,0,0,1,22.2,5.4,16.1,8,4
2,26.0,90,0,0,1,0,0,0,1,18.9,1.3,16.1,3,1
2,89.0,36,0,0,0,0,0,0,1,24.5,3.1,14.5,17,2
2,42.0,16,0,0,0,0,0,0,1,0.0,13.9,14.5,15,6
2,96.0,5,0,0,0,0,0,0,1,11.7,2.7,0.8,7,4
2,97.0,36,0,0,0,0,0,0,1,8.3,2.6,14.5,13,1
2,91.0,14,0,0,0,0,0,0,1,22.2,2.7,16.1,18,0
3,100.0,5,0,0,0,0,0,0,1,10.0,1.6,4.0,14,3
2,68.0,32,0,0,0,0,0,0,1,20.0,2.7,16.1,19,0
2,82.0,14,0,0,0,0,0,0,1,-1.1,4.0,16.1,12,3
2,54.0,32,0,0,0,0,1,0,1,2.8,5.1,16.1,7,4
2,22.0,90,0,0,0,0,0,0,1,17.2,2.7,16.1,18,1
2,48.0,90,0,0,0,0,0,0,1,23.9,2.2,16.1,8,4
2,26.0,90,0,0,0,0,0,0,1,33.3,1.3,16.1,15,3
2,83.0,5,0,0,0,0,0,0,1,13.9,7.6,16.1,5,4
2,100.0,5,0,0,0,0,0,0,1,13.9,3.6,0.8,8,4
2,96.0,32,0,1,0,0,0,0,1,6.7,5.1,16.1,6,4
2,81.0,90,0,0,0,0,0,0,1,22.8,2.2,16.1,8,4
3,63.0,32,0,0,1,0,0,0,1,19.4,6.3,16.1,18,5
3,69.0,14,0,0,0,0,0,0,1,26.1,1.3,8.0,15,1
2,66.0,90,0,0,0,0,0,0,1,7.8,0.0,16.1,16,0
2,61.0,40,0,1,0,0,0,1,1,22.8,5.8,16.1,11,3
2,90.0,14,0,0,1,0,0,0,1,14.4,0.0,8.0,10,5
2,89.0,112,0,0,0,0,0,0,1,12.8,9.4,3.2,6,1
2,50.0,90,0,1,1,0,0,1,1,27.2,7.2,16.1,16,0
2,93.0,90,0,0,1,0,0,0,1,9.4,0.0,14.5,6,1
3,97.0,5,0,0,0,0,0,0,1,12.2,5.1,9.7,23,1
2,40.0,14,0,0,0,0,0,0,1,21.1,3.1,16.1,14,6
3,67.0,90,0,0,0,0,0,0,1,26.7,2.7,16.1,4,0
2,93.0,90,0,1,0,0,0,0,1,7.2,3.6,16.1,4,5
2,79.0,32,0,1,1,0,0,1,1,0.0,4.0,16.1,21,0
2,55.0,90,0,0,0,0,0,0,1,5.0,1.3,16.1,18,5
2,22.0,90,0,0,1,0,0,0,1,20.6,1.3,16.1,15,4
2,70.0,32,0,0,0,0,0,0,1,16.1,4.1,16.1,16,4
2,93.0,5,0,1,0,0,0,1,1,8.3,3.1,11.3,13,0
4,79.0,90,0,0,0,0,0,0,1,5.0,3.1,16.1,23,1
2,87.0,40,0,0,0,0,0,0,1,16.1,4.5,16.1,6,1
2,92.0,40,0,0,0,0,0,0,1,25.6,2.7,16.1,8,4
2,89.0,32,0,0,0,0,0,0,1,25.0,0.0,16.1,8,4
2,96.0,86,0,0,0,0,0,0,1,1.1,2.7,1.2,8,4
2,45.0,90,0,0,0,0,0,0,1,27.8,3.6,16.1,13,2
2,68.0,142,0,0,0,0,0,0,1,6.7,2.1,16.1,10,0
2,93.0,90,0,0,0,0,0,0,1,4.4,2.7,16.1,7,1
2,94.0,90,0,0,0,0,0,0,1,12.8,0.0,16.1,7,4
2,82.0,90,0,0,0,0,0,0,1,21.1,0.0,16.1,21,6
2,75.0,90,0,0,0,0,0,0,1,2.8,2.2,16.1,6,2
2,56.0,90,0,0,0,0,0,0,1,18.9,6.3,16.1,6,6
2,68.0,32,0,0,0,0,0,1,1,10.0,3.1,16.1,16,0
2,97.0,32,0,1,0,0,0,1,1,2.2,3.1,16.1,7,0
2,74.0,32,0,0,0,0,0,0,1,25.0,2.7,16.1,8,4
4,66.0,90,0,0,0,0,0,0,1,23.3,2.2,16.1,8,4
3,22.0,142,0,0,0,0,0,0,1,10.0,10.8,16.1,12,2
3,39.0,90,0,0,0,0,0,0,1,8.3,6.3,16.1,17,4
2,63.0,40,0,0,0,0,0,0,1,28.9,6.3,16.1,18,1
2,69.0,32,0,0,0,0,0,0,1,26.7,7.2,16.1,11,4
4,18.0,32,0,0,0,0,0,0,1,22.8,2.6,16.1,17,4
4,82.0,14,0,0,0,0,0,0,1,0.6,2.7,16.1,16,2
2,42.0,90,0,0,1,0,0,0,1,21.7,3.1,16.1,14,2
2,83.0,32,0,0,0,0,0,0,1,12.8,2.7,16.1,7,4
2,63.0,40,0,0,0,0,0,0,1,28.3,5.8,16.1,17,1
2,34.0,32,0,0,0,0,0,0,1,8.3,2.1,16.1,14,2
2,91.0,36,0,1,0,0,0,1,1,12.0,3.1,8.0,7,1
2,85.0,15,0,0,0,0,0,0,1,-5.6,5.1,2.4,7,4
2,27.0,142,0,1,0,0,0,1,1,36.1,1.6,16.1,19,4
2,64.0,121,0,0,1,0,0,0,1,25.6,4.1,16.1,10,6
4,61.0,14,0,1,0,0,0,1,1,9.4,5.8,16.1,9,6
2,100.0,90,0,0,0,0,0,0,1,25.0,0.0,8.0,8,4
2,89.0,137,0,0,0,0,0,0,1,-2.8,9.3,6.4,5,3
2,25.0,90,0,0,0,0,0,0,1,16.1,3.6,16.1,12,0
2,73.0,52,0,0,0,0,0,0,1,21.7,0.0,16.1,21,1
3,33.0,32,0,0,0,0,0,0,1,28.3,4.1,16.1,17,5
2,100.0,92,0,0,0,0,0,0,1,16.7,0.0,1.6,4,3
2,60.0,40,0,0,0,0,0,0,1,21.1,4.5,16.1,8,4
3,18.0,90,0,0,0,0,0,1,1,23.9,4.0,16.1,17,5
2,82.0,86,0,0,0,0,0,0,1,0.0,5.8,12.9,10,6
2,40.0,142,0,0,0,0,0,1,1,13.9,2.6,16.1,14,0
2,13.0,90,0,0,0,0,0,0,1,33.9,4.5,16.1,8,4
2,56.0,32,0,0,0,0,0,0,1,28.9,6.7,16.1,17,3
2,31.0,32,0,0,0,0,0,0,1,11.7,2.7,16.1,17,3
2,35.0,90,0,1,0,0,0,0,1,21.1,2.7,16.1,15,1
2,39.0,90,0,0,0,0,0,0,1,19.4,0.0,16.1,14,0
2,56.0,40,0,0,0,0,0,1,1,20.0,3.6,16.1,7,3
2,89.0,90,0,0,0,0,0,0,1,1.1,2.7,16.1,6,3
2,79.0,91,0,0,0,0,0,0,1,0.0,10.7,14.5,13,5
2,84.0,32,0,0,1,0,0,0,1,17.2,5.4,16.1,8,5
2,56.0,14,0,0,0,0,0,0,1,1.1,4.5,16.1,1,4
2,57.0,142,0,0,0,0,0,0,1,27.8,3.1,16.1,11,1
2,44.0,32,0,0,0,0,0,0,1,20.6,2.7,16.1,8,4
2,77.0,90,0,0,0,0,0,0,1,10.6,0.0,14.5,23,4
2,84.0,123,0,0,0,0,0,0,1,-3.3,13.9,0.4,22,0
2,73.0,90,0,0,1,0,0,0,1,5.0,2.2,16.1,2,2
2,79.0,90,0,0,0,0,0,0,1,-21.7,8.9,16.1,0,0
3,74.0,40,0,0,0,0,0,0,1,17.2,7.6,16.1,10,2
2,31.0,14,0,0,0,0,0,0,1,26.1,4.5,16.1,8,4
2,51.0,32,0,0,0,0,1,0,1,21.7,7.6,16.1,17,1
2,34.0,90,0,0,1,0,0,0,1,36.7,2.7,16.1,11,1
2,81.0,40,0,0,0,0,0,0,1,2.2,6.7,16.1,5,1
2,94.0,90,0,0,0,0,0,0,1,21.1,0.0,16.1,2,6
3,25.0,142,0,0,0,0,0,0,1,10.0,6.7,16.1,15,2
2,85.0,14,0,0,0,0,0,0,1,6.7,7.6,16.1,16,1
2,56.0,90,0,0,0,0,0,0,1,20.0,0.0,14.5,18,4
2,89.0,142,0,0,0,0,0,0,1,6.7,3.1,16.1,6,1
2,76.0,90,0,0,0,0,0,0,1,20.0,2.7,16.1,20,3
3,28.0,90,0,0,0,0,0,0,1,14.4,5.4,16.1,17,1
2,70.0,90,0,0,0,0,0,0,1,5.0,1.3,16.1,8,4
2,93.0,15,0,0,0,0,0,0,1,1.1,3.6,11.3,20,4
4,44.0,32,0,1,0,0,0,1,1,27.2,5.8,16.1,16,2
2,88.0,24,0,0,0,0,0,0,1,-3.3,8.0,8.0,4,3
2,65.0,90,0,0,0,0,0,0,1,31.1,4.5,16.1,17,2
2,74.0,90,0,0,0,0,0,0,1,25.6,3.6,16.1,8,4
2,93.0,5,0,0,0,0,0,0,1,7.0,1.6,16.1,11,6
2,50.0,90,0,0,0,0,0,1,1,25.6,4.0,16.1,17,1
2,51.0,90,0,0,0,0,0,0,1,22.2,4.5,16.1,14,4
2,100.0,142,0,0,0,0,0,0,1,13.0,3.1,16.1,7,1
3,87.0,32,0,0,0,0,0,0,1,21.1,3.1,16.1,9,0
2,35.0,90,0,0,0,0,0,0,1,17.8,2.7,16.1,5,2
2,67.0,44,0,0,0,0,0,0,1,13.3,6.3,9.7,17,6
2,65.0,32,0,0,1,0,0,0,1,-8.3,6.3,16.1,16,3
2,62.0,32,0,0,0,0,0,0,1,15.6,4.1,16.1,17,3
4,92.0,90,0,0,0,0,0,0,1,7.8,0.0,16.1,18,4
2,71.0,32,0,0,0,0,0,0,1,27.8,4.6,16.1,15,3
2,94.0,142,0,0,0,0,0,0,1,12.0,3.1,16.1,7,0
2,52.0,32,0,0,0,0,0,0,1,8.3,1.3,16.1,20,6
2,56.0,32,0,0,0,0,0,0,1,26.7,4.0,16.1,13,1
3,83.0,14,0,0,1,0,0,0,1,13.9,3.1,16.1,22,5
2,46.0,90,0,0,0,0,0,0,1,28.9,3.6,16.1,17,4
2,96.0,14,0,0,0,0,0,0,1,5.0,0.0,6.4,0,4
3,100.0,36,0,1,0,0,0,1,1,21.7,3.1,16.1,6,2
2,100.0,34,0,0,0,0,0,0,1,1.1,4.0,6.4,12,3
2,56.0,33,0,0,0,0,0,1,1,27.2,10.3,16.1,17,3
2,59.0,142,0,1,0,0,0,1,1,21.1,3.1,16.1,12,3
2,26.0,90,0,1,0,0,0,1,1,27.8,2.2,16.1,8,3
2,96.0,5,0,0,0,0,0,1,1,15.6,0.0,4.8,8,2
3,82.0,121,0,0,0,0,0,1,1,9.0,4.1,11.3,10,2
2,75.0,90,0,0,0,0,0,0,1,0.0,2.7,16.1,18,5
3,43.0,36,0,0,0,0,0,0,1,-2.8,4.1,16.1,18,4
2,55.0,40,0,0,1,0,0,0,1,20.0,8.0,16.1,8,4
4,75.0,90,0,0,0,0,0,0,1,-4.4,1.3,16.1,4,6
2,32.0,32,0,0,0,0,0,0,1,17.2,0.0,16.1,8,4
3,82.0,32,0,0,0,0,0,0,1,23.3,5.7,16.1,11,4
3,84.0,127,0,0,0,0,0,0,1,25.6,4.1,4.8,18,4
2,67.0,90,0,0,0,0,0,0,1,22.8,2.2,16.1,20,2
3,41.0,40,0,0,0,0,0,0,1,35.0,5.1,16.1,13,1
2,58.0,90,0,0,0,0,0,0,1,20.6,4.5,16.1,11,3
2,63.0,32,0,0,0,0,0,0,1,31.1,0.0,16.1,8,4
2,93.0,40,0,0,0,0,0,0,1,20.6,5.4,16.1,7,0
2,26.0,90,0,0,0,0,0,0,1,32.2,1.3,16.1,8,4
2,34.0,90,0,1,0,0,0,1,1,6.1,5.8,16.1,17,0
2,54.0,90,0,0,0,0,0,0,1,18.9,2.7,16.1,8,4
3,86.0,142,0,0,0,0,0,0,1,3.3,5.7,16.1,7,1
2,90.0,5,0,0,0,0,0,0,1,12.2,4.1,6.4,10,2
2,88.0,14,0,0,0,0,0,0,1,0.0,0.0,16.1,0,6
2,47.0,90,0,0,0,0,0,0,1,15.6,0.0,16.1,19,6
2,86.0,36,0,0,0,0,0,1,1,11.7,3.1,16.1,7,3
2,83.0,142,0,0,0,0,0,0,1,22.0,3.1,14.5,7,3
2,94.0,32,0,0,0,0,0,0,1,20.0,3.1,4.8,8,0
2,93.0,40,0,0,0,0,0,0,1,8.9,1.3,16.1,10,5
2,84.0,90,0,0,0,0,0,0,1,25.0,2.2,16.1,0,3
2,36.0,90,0,0,0,0,0,0,1,26.1,3.1,16.1,15,3
2,37.0,90,0,0,0,0,0,1,1,16.7,2.2,16.1,12,3
2,77.0,40,0,0,0,0,0,0,1,10.0,2.7,16.1,17,6
2,93.0,90,0,0,0,0,0,0,1,2.8,0.0,16.1,8,4
2,55.0,142,0,0,0,0,0,0,1,30.0,3.1,16.1,10,3
2,42.0,90,0,0,0,0,0,0,1,18.3,5.4,16.1,21,6
2,80.0,90,0,0,0,0,0,0,1,15.6,0.0,16.1,23,1
2,46.0,90,0,0,0,0,0,0,1,23.3,1.3,16.1,20,2
3,72.0,14,0,0,0,0,0,0,1,14.4,4.5,16.1,17,3
2,71.0,142,0,1,0,0,0,1,1,11.7,3.1,16.1,10,1
3,72.0,90,0,0,0,0,0,0,1,30.6,4.5,16.1,10,5
3,74.0,90,0,0,0,0,0,0,1,10.6,2.7,16.1,11,5
3,88.0,32,0,0,0,0,0,0,1,-1.1,7.2,8.0,5,1
2,80.0,32,0,0,0,0,0,0,1,8.3,2.7,16.1,20,4
2,33.0,142,0,0,1,0,0,0,1,30.0,4.1,16.1,17,3
2,53.0,90,0,0,0,0,0,0,1,6.7,6.3,16.1,20,4
