LogID,LocationID,CurrentSpeed,NormalSpeed,TrafficStatus,RecordedAt,LocationName,City,Latitude,Longitude,Temperature_C,Humidity_Pct,Wind_Speed_ms,Weather_Condition
70,70,40,40,Free Flow,2026-08-28 03:14:35.933,Cairo-Alexandria Desert Road - Sphinx,Giza,30.0214,30.9054,26.41,56,3.52,clear sky
71,71,81,81,Free Flow,2026-08-28 03:14:36.690,Wadi El Natrun Road,Beheira,30.4541,30.3541,24.9,87,1.35,clear sky
72,72,70,70,Free Flow,2026-08-28 03:14:37.440,New Cairo - Teseen Street North,Cairo,30.0254,31.4154,27.42,57,2.06,clear sky
73,73,48,48,Free Flow,2026-08-28 03:14:38.203,New Cairo - Teseen Street South,Cairo,29.9954,31.4452,27.42,57,2.06,clear sky
74,74,74,74,Free Flow,2026-08-28 03:14:38.963,New Cairo - American University,Cairo,30.0054,31.5021,27.42,57,2.06,clear sky
75,75,57,57,Free Flow,2026-08-28 03:14:39.727,New Cairo - Mohamed Naguib Axis,Cairo,30.0154,31.4354,27.42,57,2.06,clear sky
76,76,63,63,Free Flow,2026-08-28 03:14:40.500,New Cairo - Sadat Axis,Cairo,30.0454,31.4254,27.42,57,2.06,clear sky
77,77,39,39,Free Flow,2026-08-28 03:14:41.250,Nasr City - Abbas El Akkad,Cairo,30.0512,31.3354,27.42,57,2.06,clear sky
78,78,32,32,Free Flow,2026-08-28 03:14:42.047,Nasr City - Makram Ebeid,Cairo,30.0587,31.3485,27.42,57,2.06,clear sky
79,79,40,40,Free Flow,2026-08-28 03:14:42.950,Nasr City - Mostafa El Nahas,Cairo,30.0454,31.3521,27.42,57,2.06,clear sky
80,80,31,31,Free Flow,2026-08-28 03:14:43.707,Heliopolis - Roxy Sq,Cairo,30.0898,31.3254,27.42,57,2.06,clear sky
81,81,49,49,Free Flow,2026-08-28 03:14:44.473,Heliopolis - Merghany,Cairo,30.0854,31.3354,27.42,57,2.06,clear sky
82,82,55,55,Free Flow,2026-08-28 03:14:45.237,Heliopolis - El Khalifa El Mamoun,Cairo,30.0787,31.3054,27.42,57,2.06,clear sky
83,83,41,41,Free Flow,2026-08-28 03:14:45.990,Maadi - Victoria Square,Cairo,29.9541,31.2541,27.42,57,2.06,clear sky
84,84,33,33,Free Flow,2026-08-28 03:14:46.763,Maadi - Degla,Cairo,29.9602,31.2565,27.42,57,2.06,clear sky
85,85,21,21,Free Flow,2026-08-28 03:14:47.523,Zamalek - 26 July St,Cairo,30.0654,31.2214,27.42,57,2.06,clear sky
86,86,20,20,Free Flow,2026-08-28 03:14:48.297,Downtown - Tahrir Sq,Cairo,30.0444,31.2357,27.42,57,2.06,clear sky
87,87,16,16,Free Flow,2026-08-28 03:14:49.063,Downtown - Talaat Harb,Cairo,30.0512,31.2412,27.42,57,2.06,clear sky
88,88,33,33,Free Flow,2026-08-28 03:14:49.827,Dokki - Mesaha Sq,Giza,30.0387,31.2145,26.41,56,3.52,clear sky
89,89,23,23,Free Flow,2026-08-28 03:14:50.583,Mohandessin - Shehab St,Giza,30.0554,31.2014,26.41,56,3.52,clear sky
90,90,14,14,Free Flow,2026-08-28 03:14:51.350,Mohandessin - Sudan St,Giza,30.0687,31.2054,26.41,56,3.52,clear sky
91,91,14,14,Free Flow,2026-08-28 03:14:52.123,Giza - El Omraneya,Giza,29.9954,31.2014,26.41,56,3.52,clear sky
92,92,23,23,Free Flow,2026-08-28 03:14:52.950,Shubra - Corniche,Cairo,30.0854,31.2454,27.42,57,2.06,clear sky
93,93,23,23,Free Flow,2026-08-28 03:14:53.713,Shubra - Ahmed Helmy,Cairo,30.0687,31.2485,27.42,57,2.06,clear sky
94,94,19,19,Free Flow,2026-08-28 03:14:54.470,Ain Shams - El Matareya,Cairo,30.1254,31.3154,27.42,57,2.06,clear sky
95,95,49,49,Free Flow,2026-08-28 03:14:55.230,Ain Shams University Area,Cairo,30.0754,31.2854,27.42,57,2.06,clear sky
96,96,32,32,Free Flow,2026-08-28 03:14:55.997,Helwan - Corniche,Cairo,29.8454,31.3354,27.42,57,2.06,clear sky
97,97,24,24,Free Flow,2026-08-28 03:14:56.770,Helwan University Area,Cairo,29.8512,31.3054,27.42,57,2.06,clear sky
98,98,56,56,Free Flow,2026-08-28 03:14:57.527,Nasr City - Al-Ahly Club Area,Cairo,30.0812,31.3541,27.42,57,2.06,clear sky
99,99,46,46,Free Flow,2026-08-28 03:14:58.327,Cairo International Stadium Area,Cairo,30.0714,31.3154,27.42,57,2.06,clear sky
100,100,72,72,Free Flow,2026-08-28 03:14:59.083,Cairo Festival City Area,Cairo,30.0312,31.4014,27.42,57,2.06,clear sky
101,101,38,38,Free Flow,2026-08-28 03:14:59.837,Maadi - Ring Road Carrefour,Cairo,29.9714,31.2954,27.42,57,2.06,clear sky
102,1,16,16,Free Flow,2026-08-28 09:21:44.030,Stanley Bridge,Alexandria,31.2291,29.9575,27.86,72,3.83,clear sky
103,2,25,25,Free Flow,2026-08-28 09:21:44.797,Corniche - San Stefano,Alexandria,31.2465,29.9723,27.86,72,3.83,clear sky
104,3,22,22,Free Flow,2026-08-28 09:21:45.570,Corniche - Gleem,Alexandria,31.2391,29.9654,27.86,72,3.83,clear sky
105,4,22,22,Free Flow,2026-08-28 09:21:46.353,Corniche - Roushdy,Alexandria,31.2365,29.9621,27.86,72,3.83,clear sky
106,5,27,27,Free Flow,2026-08-28 09:21:47.187,Corniche - Sporting,Alexandria,31.2214,29.9482,27.86,72,3.83,clear sky
107,6,27,27,Free Flow,2026-08-28 09:21:47.973,Corniche - Ibrahimia,Alexandria,31.2145,29.9412,27.86,72,3.83,clear sky
108,7,38,38,Free Flow,2026-08-28 09:21:48.743,Corniche - Camp Cesar,Alexandria,31.2098,29.9365,27.86,72,3.83,clear sky
109,8,26,26,Free Flow,2026-08-28 09:21:49.533,Corniche - Chatby,Alexandria,31.2012,29.9284,27.86,72,3.83,clear sky
110,9,27,27,Free Flow,2026-08-28 09:21:50.347,Corniche - Silsela,Alexandria,31.2054,29.8965,27.86,72,3.83,clear sky
111,10,17,17,Free Flow,2026-08-28 09:21:51.220,Corniche - Citadel Qaitbay,Alexandria,31.2123,29.8854,27.86,72,3.83,clear sky
112,11,34,34,Free Flow,2026-08-28 09:21:52.407,Corniche - Miami,Alexandria,31.2825,30.0152,27.86,72,3.83,clear sky
113,12,34,34,Free Flow,2026-08-28 09:21:53.277,Corniche - Montaza,Alexandria,31.2871,30.0214,27.86,72,3.83,clear sky
114,13,34,34,Free Flow,2026-08-28 09:21:54.137,Abu Qir Road - Victoria,Alexandria,31.2412,29.9854,27.86,72,3.83,clear sky
115,14,22,22,Free Flow,2026-08-28 09:21:54.943,Abu Qir Road - Fleming,Alexandria,31.2354,29.9741,27.86,72,3.83,clear sky
116,15,18,18,Free Flow,2026-08-28 09:21:55.800,Abu Qir Road - Sidi Gaber,Alexandria,31.2215,29.9354,27.86,72,3.83,clear sky
117,16,60,60,Free Flow,2026-08-28 09:21:56.703,Alexandria Desert Road - Carrefour,Alexandria,31.1854,29.9541,27.86,72,3.83,clear sky
118,17,50,50,Free Flow,2026-08-28 09:21:57.553,Alexandria Agriculture Road Entrance,Alexandria,31.2014,30.0254,27.86,72,3.83,clear sky
119,18,48,48,Free Flow,2026-08-28 09:21:58.320,Mahmoudia Axis - Smouha,Alexandria,31.2087,29.9542,27.86,72,3.83,clear sky
120,19,86,86,Free Flow,2026-08-28 09:21:59.100,Alexandria Desert Road - km 21,Alexandria,31.1025,29.8214,27.86,72,3.83,clear sky
121,20,37,37,Free Flow,2026-08-28 09:21:59.930,Kafoury Road,Alexandria,31.0854,29.7541,27.86,72,3.83,clear sky
122,21,82,82,Free Flow,2026-08-28 09:22:00.697,Borg El Arab Entrance,Alexandria,30.9124,29.5412,27.86,72,3.83,clear sky
123,22,75,75,Free Flow,2026-08-28 09:22:01.527,Cairo-Alex Desert Road - toll gate,Beheira,30.8541,30.1245,27.86,64,3.23,clear sky
124,23,26,26,Free Flow,2026-08-28 09:22:02.350,Agricultural Road - Damanhour,Beheira,31.0412,30.4754,27.86,64,3.23,clear sky
125,24,26,26,Free Flow,2026-08-28 09:22:03.167,Agricultural Road - Tanta Bridge,Gharbia,30.7854,31.0024,28.08,63,2.73,clear sky
126,25,20,20,Free Flow,2026-08-28 09:22:04.460,Agricultural Road - Benha,Qalyubia,30.4612,31.1854,27.71,66,2.47,clear sky
127,26,34,34,Free Flow,2026-08-28 09:22:05.267,Ring Road - Benha Exit,Qalyubia,30.4354,31.2145,27.71,66,2.47,clear sky
128,27,42,42,Free Flow,2026-08-28 09:22:06.050,Ring Road - Shubra El Kheima,Qalyubia,30.1245,31.2451,27.71,66,2.47,clear sky
129,28,11,11,Free Flow,2026-08-28 09:22:06.840,Ring Road - Marg,Cairo,30.1524,31.3452,27.42,69,1.54,clear sky
130,29,79,79,Free Flow,2026-08-28 09:22:07.637,Ring Road - Al Salam City,Cairo,30.1654,31.3854,27.42,69,1.54,clear sky
131,30,77,77,Free Flow,2026-08-28 09:22:08.477,Ring Road - New Cairo Entrance,Cairo,30.0541,31.4251,27.42,69,1.54,clear sky
132,31,66,66,Free Flow,2026-08-28 09:22:09.277,Ring Road - Katameya,Cairo,29.9854,31.3541,27.42,69,1.54,clear sky
133,32,20,20,Free Flow,2026-08-28 09:22:10.090,Ring Road - Maadi,Cairo,29.9621,31.2754,27.42,69,1.54,clear sky
134,33,42,42,Free Flow,2026-08-28 09:22:10.870,Ring Road - Mounib,Giza,29.9821,31.2154,27.41,67,3.17,clear sky
135,34,13,13,Free Flow,2026-08-28 09:22:11.667,Ring Road - Mariouteya,Giza,29.9754,31.1542,27.41,67,3.17,clear sky
136,35,14,14,Free Flow,2026-08-28 09:22:12.473,Ring Road - El Waraq,Giza,30.0854,31.2014,27.41,67,3.17,clear sky
137,36,27,27,Free Flow,2026-08-28 09:22:13.310,Ring Road - Mohandessin Axis,Giza,30.0654,31.1925,27.41,67,3.17,clear sky
138,37,16,16,Free Flow,2026-08-28 09:22:15.260,October Bridge - Ramses,Cairo,30.0565,31.2442,27.42,69,1.54,clear sky
139,38,12,20,Moderate,2026-08-28 09:22:16.170,October Bridge - Tahrir Sq,Cairo,30.0444,31.2357,27.42,69,1.54,clear sky
140,39,21,21,Free Flow,2026-08-28 09:22:17.023,October Bridge - Zamalek,Cairo,30.0621,31.2215,27.42,69,1.54,clear sky
141,40,30,30,Free Flow,2026-08-28 09:22:17.827,October Bridge - Doqqi,Giza,30.0454,31.2145,27.41,67,3.17,clear sky
142,41,23,23,Free Flow,2026-08-28 09:22:18.633,October Bridge - Mohandessin End,Giza,30.0541,31.1985,27.41,67,3.17,clear sky
143,42,37,37,Free Flow,2026-08-28 09:22:19.447,October Bridge - Nasr City (Abbas El Akkad),Cairo,30.0687,31.3354,27.42,69,1.54,clear sky
144,43,34,34,Free Flow,2026-08-28 09:22:20.277,October Bridge - Al-Manial,Cairo,30.0312,31.2285,27.42,69,1.54,clear sky
145,44,17,42,Heavy Congestion,2026-08-28 09:22:21.077,Salah Salem - Airport Road,Cairo,30.1054,31.3854,27.42,69,1.54,clear sky
146,45,58,58,Free Flow,2026-08-28 09:22:21.900,Salah Salem - Al Azhar,Cairo,30.0454,31.2621,27.42,69,1.54,clear sky
147,46,49,49,Free Flow,2026-08-28 09:22:22.697,Salah Salem - Citadel,Cairo,30.0285,31.2654,27.42,69,1.54,clear sky
148,47,46,46,Free Flow,2026-08-28 09:22:23.517,Salah Salem - Panorama,Cairo,30.0721,31.3154,27.42,69,1.54,clear sky
149,48,20,20,Free Flow,2026-08-28 09:22:24.337,Autostrad - Maadi,Cairo,29.9754,31.2654,27.42,69,1.54,clear sky
150,49,20,20,Free Flow,2026-08-28 09:22:25.163,Autostrad - Helwan,Cairo,29.8541,31.3154,27.42,69,1.54,clear sky
151,50,67,67,Free Flow,2026-08-28 09:22:26.040,Autostrad - Nasr City,Cairo,30.0354,31.3354,27.42,69,1.54,clear sky
152,51,38,38,Free Flow,2026-08-28 09:22:26.860,Corniche - Maspero,Cairo,30.0541,31.2312,27.42,69,1.54,clear sky
153,52,20,20,Free Flow,2026-08-28 09:22:27.650,Corniche - Garden City,Cairo,30.0354,31.2285,27.42,69,1.54,clear sky
154,53,41,41,Free Flow,2026-08-28 09:22:28.477,Corniche - Maadi,Cairo,29.9621,31.2454,27.42,69,1.54,clear sky
155,54,34,34,Free Flow,2026-08-28 09:22:29.277,Qasr El Nil Bridge,Cairo,30.0435,31.2312,27.42,69,1.54,clear sky
156,55,13,13,Free Flow,2026-08-28 09:22:30.093,Abbas Bridge,Cairo,30.0198,31.2312,27.42,69,1.54,clear sky
157,56,28,28,Free Flow,2026-08-28 09:22:30.907,El Galaa Bridge,Cairo,30.0512,31.2214,27.42,69,1.54,clear sky
158,57,37,37,Free Flow,2026-08-28 09:22:31.783,Tahya Masr Bridge,Cairo,30.0954,31.2245,27.42,69,1.54,clear sky
159,58,34,34,Free Flow,2026-08-28 09:22:32.593,Axis 26 July - Lebanon Sq,Giza,30.0612,31.1985,27.41,67,3.17,clear sky
160,59,53,53,Free Flow,2026-08-28 09:22:33.383,Axis 26 July - Hyper One,Giza,30.0714,31.0254,27.41,67,3.17,clear sky
161,60,21,21,Free Flow,2026-08-28 09:22:34.213,Axis 26 July - Juhayna Sq,Giza,29.9714,30.9542,27.41,67,3.17,clear sky
162,61,32,32,Free Flow,2026-08-28 09:22:35.063,محور روض الفرج - شبرا,Qalyubia,30.1025,31.2214,27.71,66,2.47,clear sky
163,62,105,105,Free Flow,2026-08-28 09:22:35.887,محور روض الفرج - الضبعة,Giza,30.0854,30.9854,27.41,67,3.17,clear sky
164,63,39,39,Free Flow,2026-08-28 09:22:36.750,Haram Street - Giza Square,Giza,30.0124,31.2145,27.41,67,3.17,clear sky
165,64,32,32,Free Flow,2026-08-28 09:22:37.547,Haram Street - Al Arish,Giza,29.9954,31.1754,27.41,67,3.17,clear sky
166,65,36,36,Free Flow,2026-08-28 09:22:38.427,Haram Street - El Remaya,Giza,29.9821,31.1354,27.41,67,3.17,clear sky
167,66,39,39,Free Flow,2026-08-28 09:22:39.223,Faisal Street - El Massaha,Giza,30.0254,31.2014,27.41,67,3.17,clear sky
168,67,32,32,Free Flow,2026-08-28 09:22:40.043,Faisal Street - El Talbeya,Giza,29.9921,31.1654,27.41,67,3.17,clear sky
169,68,61,61,Free Flow,2026-08-28 09:22:40.843,King Faisal Street End,Giza,29.9854,31.1245,27.41,67,3.17,clear sky
170,69,83,83,Free Flow,2026-08-28 09:22:41.620,Cairo-Alexandria Desert Road - Smart Village,Giza,30.0714,31.0154,27.41,67,3.17,clear sky
171,70,40,40,Free Flow,2026-08-28 09:22:42.433,Cairo-Alexandria Desert Road - Sphinx,Giza,30.0214,30.9054,27.41,67,3.17,clear sky
172,71,81,81,Free Flow,2026-08-28 09:22:43.283,Wadi El Natrun Road,Beheira,30.4541,30.3541,27.86,64,3.23,clear sky
173,72,70,70,Free Flow,2026-08-28 09:22:44.087,New Cairo - Teseen Street North,Cairo,30.0254,31.4154,27.42,69,1.54,clear sky
174,73,48,48,Free Flow,2026-08-28 09:22:44.917,New Cairo - Teseen Street South,Cairo,29.9954,31.4452,27.42,69,1.54,clear sky
175,74,74,74,Free Flow,2026-08-28 09:22:45.743,New Cairo - American University,Cairo,30.0054,31.5021,27.42,69,1.54,clear sky
176,75,57,57,Free Flow,2026-08-28 09:22:46.703,New Cairo - Mohamed Naguib Axis,Cairo,30.0154,31.4354,27.42,69,1.54,clear sky
177,76,63,63,Free Flow,2026-08-28 09:22:47.517,New Cairo - Sadat Axis,Cairo,30.0454,31.4254,27.42,69,1.54,clear sky
178,77,39,39,Free Flow,2026-08-28 09:22:48.300,Nasr City - Abbas El Akkad,Cairo,30.0512,31.3354,27.42,69,1.54,clear sky
179,78,32,32,Free Flow,2026-08-28 09:22:49.117,Nasr City - Makram Ebeid,Cairo,30.0587,31.3485,27.42,69,1.54,clear sky
180,79,40,40,Free Flow,2026-08-28 09:22:49.983,Nasr City - Mostafa El Nahas,Cairo,30.0454,31.3521,27.42,69,1.54,clear sky
181,80,31,31,Free Flow,2026-08-28 09:22:50.780,Heliopolis - Roxy Sq,Cairo,30.0898,31.3254,27.42,69,1.54,clear sky
182,81,49,49,Free Flow,2026-08-28 09:22:51.567,Heliopolis - Merghany,Cairo,30.0854,31.3354,27.42,69,1.54,clear sky
183,82,55,55,Free Flow,2026-08-28 09:22:52.363,Heliopolis - El Khalifa El Mamoun,Cairo,30.0787,31.3054,27.42,69,1.54,clear sky
184,83,41,41,Free Flow,2026-08-28 09:22:53.173,Maadi - Victoria Square,Cairo,29.9541,31.2541,27.42,69,1.54,clear sky
185,84,33,33,Free Flow,2026-08-28 09:22:54.033,Maadi - Degla,Cairo,29.9602,31.2565,27.42,69,1.54,clear sky
186,85,21,21,Free Flow,2026-08-28 09:22:54.840,Zamalek - 26 July St,Cairo,30.0654,31.2214,27.42,69,1.54,clear sky
187,86,12,19,Moderate,2026-08-28 09:22:55.643,Downtown - Tahrir Sq,Cairo,30.0444,31.2357,27.42,69,1.54,clear sky
188,87,16,16,Free Flow,2026-08-28 09:22:56.523,Downtown - Talaat Harb,Cairo,30.0512,31.2412,27.42,69,1.54,clear sky
189,88,33,33,Free Flow,2026-08-28 09:22:57.603,Dokki - Mesaha Sq,Giza,30.0387,31.2145,27.41,67,3.17,clear sky
190,89,23,23,Free Flow,2026-08-28 09:22:58.433,Mohandessin - Shehab St,Giza,30.0554,31.2014,27.41,67,3.17,clear sky
191,90,14,14,Free Flow,2026-08-28 09:22:59.263,Mohandessin - Sudan St,Giza,30.0687,31.2054,27.41,67,3.17,clear sky
