Incident_ID,Location_Name,Incident_Date,Incident_Time,Incident_Type,Severity,Cause,Road_Delay_Minutes,ADAS_Driver_Status,Temperature_C,Humidity_Pct,Wind_Speed_ms,Weather_Condition,CurrentSpeed,TrafficStatus
INC_100011,Agricultural Road - Tanta Bridge,2026-03-21,22:21:01,Roadworks,Minor,Engine Failure,28,SAFE & FOCUSED,23.2,44,2.5,Clear Sky,73,Free Flow
INC_100012,Ring Road - Al Salam City,2026-07-19,15:41:01,Accident,Fatal,Fainting / Sudden Illness,146,SOS: FAINTING / EMERGENCY!,31.0,31,3.9,Clear Sky,4,Heavy Traffic
INC_100013,Cairo Festival City Area,2026-08-02,02:20:01,Weather Condition,Minor,Unknown,15,SAFE & FOCUSED,20.8,88,13.0,Rainy,66,Free Flow
INC_100014,Ain Shams University Area,2026-07-18,22:18:01,Accident,Major,Driver Fatigue,64,DROWSY - SLEEPING!,22.1,56,2.1,Cloudy,11,Heavy Traffic
INC_100015,October Bridge - Tahrir Sq,2026-06-11,04:59:01,Accident,Fatal,Fainting / Sudden Illness,228,SOS: FAINTING / EMERGENCY!,21.4,55,5.4,Clear Sky,8,Heavy Traffic
INC_100016,October Bridge - Mohandessin End,2026-08-05,13:15:01,Accident,Minor,Lack of Attention,22,DISTRACTED: LOOKING AWAY!,36.4,30,2.2,Clear Sky,38,Moderate Traffic
INC_100017,October Bridge - Doqqi,2026-03-12,06:07:01,Accident,Moderate,Driver Fatigue,47,DROWSY - SLEEPING!,25.1,46,5.1,Cloudy,35,Moderate Traffic
INC_100018,Autostrad - Helwan,2026-07-25,07:48:01,Accident,Moderate,Lack of Attention,35,DISTRACTED: LOOKING AWAY!,21.3,50,5.3,Clear Sky,33,Moderate Traffic
INC_100019,Haram Street - Al Arish,2026-04-21,06:55:01,Accident,Major,Fainting / Sudden Illness,66,SOS: FAINTING / EMERGENCY!,23.0,44,5.0,Cloudy,2,Heavy Traffic
INC_100020,Downtown - Talaat Harb,2026-04-25,01:32:01,Accident,Major,Driver Fatigue,106,FATIGUE - YAWNING!,24.4,57,2.5,Cloudy,4,Heavy Traffic
INC_100021,Cairo-Alexandria Desert Road - Sphinx,2026-08-06,16:25:01,Accident (Other Driver),Moderate,Unknown,58,SAFE & FOCUSED,25.5,58,4.7,Clear Sky,27,Moderate Traffic
INC_100022,Corniche - Maspero,2026-07-04,00:22:01,Accident (Other Driver),Minor,Slippery Road,19,SAFE & FOCUSED,15.6,88,2.8,Foggy,21,Moderate Traffic
INC_100023,Giza - El Omraneya,2026-05-14,20:55:01,Accident,Major,Phone Usage,60,DISTRACTED: PHONE USAGE!,34.6,39,5.2,Cloudy,13,Heavy Traffic
INC_100024,Ring Road - Shubra El Kheima,2026-03-19,08:06:01,Accident,Moderate,Driver Fatigue,47,FATIGUE - YAWNING!,33.9,34,6.4,Clear Sky,22,Moderate Traffic
INC_100025,Ring Road - El Waraq,2026-08-05,16:23:01,Accident,Moderate,Sudden Braking,30,STRESS / ANGER DETECTED!,28.4,55,6.4,Clear Sky,29,Moderate Traffic
INC_100026,Helwan - Corniche,2026-08-22,19:34:01,Vehicle Breakdown,Minor,Engine Failure,25,SAFE & FOCUSED,29.0,61,3.0,Clear Sky,64,Free Flow
INC_100027,Corniche - Garden City,2026-06-08,23:53:01,Roadworks,Minor,Unknown,16,SAFE & FOCUSED,25.1,37,2.8,Clear Sky,27,Moderate Traffic
INC_100028,Alexandria Agriculture Road Entrance,2026-04-13,09:25:01,Accident,Moderate,Sudden Braking,36,STRESS / ANGER DETECTED!,35.9,40,3.7,Clear Sky,30,Moderate Traffic
INC_100029,Ring Road - Mohandessin Axis,2026-06-28,09:21:01,Accident,Major,Driver Fatigue,93,DROWSY - SLEEPING!,36.8,65,5.1,Clear Sky,6,Heavy Traffic
INC_100030,Giza - El Omraneya,2026-03-21,18:07:01,Accident,Moderate,Phone Usage,55,DISTRACTED: PHONE USAGE!,30.8,65,3.9,Clear Sky,17,Moderate Traffic
INC_100031,Nasr City - Al-Ahly Club Area,2026-06-13,10:14:01,Accident,Major,Driver Fatigue,88,DROWSY - SLEEPING!,31.2,33,2.8,Clear Sky,9,Heavy Traffic
INC_100032,Corniche - Sporting,2026-05-02,08:09:01,Accident,Moderate,Phone Usage,32,DISTRACTED: PHONE USAGE!,21.3,51,7.4,Clear Sky,27,Moderate Traffic
INC_100033,Helwan - Corniche,2026-06-26,16:48:01,Weather Condition,Minor,Engine Failure,25,SAFE & FOCUSED,15.8,89,10.2,Rainy,42,Free Flow
INC_100034,Ring Road - Katameya,2026-03-17,22:50:01,Accident,Minor,Speeding,15,STRESS / ANGER DETECTED!,37.1,42,7.0,Clear Sky,60,Free Flow
INC_100035,Haram Street - Giza Square,2026-04-03,14:11:01,Accident,Major,Driver Fatigue,85,DROWSY - SLEEPING!,28.6,49,2.2,Clear Sky,12,Heavy Traffic
INC_100036,محور روض الفرج - شبرا,2026-07-11,21:52:01,Accident,Major,Driver Fatigue,117,FATIGUE - YAWNING!,30.2,35,5.4,Clear Sky,8,Heavy Traffic
INC_100037,Ring Road - Al Salam City,2026-08-13,21:51:01,Accident,Moderate,Driver Fatigue,31,FATIGUE - YAWNING!,37.3,52,2.8,Clear Sky,21,Moderate Traffic
INC_100038,New Cairo - American University,2026-04-25,06:29:01,Accident,Moderate,Speeding,33,STRESS / ANGER DETECTED!,23.0,41,7.1,Clear Sky,22,Moderate Traffic
INC_100039,Corniche - Garden City,2026-05-03,22:45:01,Accident,Moderate,Speeding,50,STRESS / ANGER DETECTED!,26.8,45,5.7,Clear Sky,21,Moderate Traffic
INC_100040,Abu Qir Road - Fleming,2026-06-23,13:06:01,Accident (Other Driver),Minor,Engine Failure,26,SAFE & FOCUSED,23.5,36,4.2,Clear Sky,56,Free Flow
INC_100041,Axis 26 July - Juhayna Sq,2026-06-20,05:33:01,Accident,Minor,Lack of Attention,17,DISTRACTED: LOOKING AWAY!,22.0,54,6.5,Clear Sky,31,Moderate Traffic
INC_100042,Salah Salem - Panorama,2026-07-26,19:17:01,Roadworks,Moderate,Unknown,57,SAFE & FOCUSED,34.1,36,3.9,Clear Sky,19,Moderate Traffic
INC_100043,Autostrad - Nasr City,2026-05-16,02:17:01,Accident,Major,Fainting / Sudden Illness,97,SOS: FAINTING / EMERGENCY!,23.0,45,5.5,Clear Sky,8,Heavy Traffic
INC_100044,Agricultural Road - Damanhour,2026-06-24,12:42:01,Accident,Major,Driver Fatigue,105,DROWSY - SLEEPING!,21.7,38,5.5,Clear Sky,1,Heavy Traffic
INC_100045,Corniche - Miami,2026-04-20,10:09:01,Accident (Other Driver),Minor,Slippery Road,15,SAFE & FOCUSED,19.4,80,11.3,Rainy,64,Free Flow
INC_100046,New Cairo - Mohamed Naguib Axis,2026-06-23,13:41:01,Accident,Fatal,Driver Fatigue,127,FATIGUE - YAWNING!,24.7,53,6.7,Clear Sky,9,Heavy Traffic
INC_100047,Alexandria Agriculture Road Entrance,2026-04-22,23:44:01,Accident,Fatal,Driver Fatigue,145,DROWSY - SLEEPING!,21.9,33,5.4,Clear Sky,1,Heavy Traffic
INC_100048,Shubra - Ahmed Helmy,2026-06-21,19:20:01,Accident,Minor,Lack of Attention,18,DISTRACTED: LOOKING AWAY!,34.0,32,4.5,Cloudy,29,Moderate Traffic
INC_100049,Abu Qir Road - Victoria,2026-04-08,22:31:01,Accident,Minor,Speeding,18,STRESS / ANGER DETECTED!,33.9,52,3.5,Cloudy,33,Moderate Traffic
INC_100050,Autostrad - Nasr City,2026-04-24,17:56:01,Accident,Moderate,Speeding,45,STRESS / ANGER DETECTED!,28.8,59,3.8,Clear Sky,28,Moderate Traffic
INC_100051,El Galaa Bridge,2026-06-20,00:18:01,Accident,Fatal,Fainting / Sudden Illness,206,SOS: FAINTING / EMERGENCY!,25.2,47,7.1,Clear Sky,7,Heavy Traffic
INC_100052,Mahmoudia Axis - Smouha,2026-03-05,10:50:01,Accident,Major,Phone Usage,97,DISTRACTED: PHONE USAGE!,30.0,35,6.4,Clear Sky,6,Heavy Traffic
INC_100053,Heliopolis - Merghany,2026-07-06,03:11:01,Accident,Minor,Lack of Attention,15,DISTRACTED: LOOKING AWAY!,26.4,37,5.7,Clear Sky,40,Moderate Traffic
INC_100054,Ain Shams - El Matareya,2026-07-15,21:00:01,Accident,Moderate,Phone Usage,41,DISTRACTED: PHONE USAGE!,35.8,56,5.4,Clear Sky,26,Moderate Traffic
INC_100055,Agricultural Road - Benha,2026-07-08,11:08:01,Accident,Minor,Sudden Braking,23,STRESS / ANGER DETECTED!,36.7,55,7.1,Clear Sky,66,Free Flow
INC_100056,Tahya Masr Bridge,2026-08-22,23:45:01,Roadworks,Minor,Unknown,16,SAFE & FOCUSED,29.5,58,5.4,Clear Sky,42,Free Flow
INC_100057,محور روض الفرج - الضبعة,2026-08-04,12:56:01,Accident,Fatal,Fainting / Sudden Illness,150,SOS: FAINTING / EMERGENCY!,37.4,41,7.3,Clear Sky,8,Heavy Traffic
INC_100058,Autostrad - Nasr City,2026-03-10,19:37:01,Accident,Major,Driver Fatigue,81,FATIGUE - YAWNING!,29.8,60,7.7,Clear Sky,15,Heavy Traffic
INC_100059,Ain Shams - El Matareya,2026-06-14,19:11:01,Accident,Moderate,Speeding,42,STRESS / ANGER DETECTED!,24.5,38,2.3,Clear Sky,25,Moderate Traffic
INC_100060,Borg El Arab Entrance,2026-08-14,18:05:01,Accident,Fatal,Driver Fatigue,209,FATIGUE - YAWNING!,30.0,39,3.9,Cloudy,3,Heavy Traffic
INC_100061,Nasr City - Mostafa El Nahas,2026-07-30,03:23:01,Vehicle Breakdown,Moderate,Engine Failure,30,SAFE & FOCUSED,37.6,62,4.4,Cloudy,19,Moderate Traffic
INC_100062,October Bridge - Nasr City (Abbas El Akkad),2026-07-17,18:35:01,Accident,Moderate,Phone Usage,38,DISTRACTED: PHONE USAGE!,36.1,49,7.0,Cloudy,22,Moderate Traffic
INC_100063,October Bridge - Al-Manial,2026-08-09,05:22:01,Roadworks,Moderate,Engine Failure,58,SAFE & FOCUSED,37.8,63,7.0,Cloudy,16,Moderate Traffic
INC_100064,Alexandria Agriculture Road Entrance,2026-03-15,04:30:01,Accident,Minor,Lack of Attention,22,DISTRACTED: LOOKING AWAY!,22.3,62,6.1,Clear Sky,74,Free Flow
INC_100065,Abu Qir Road - Fleming,2026-08-25,15:31:01,Weather Condition,Moderate,Slippery Road,53,SAFE & FOCUSED,17.6,87,2.7,Foggy,26,Moderate Traffic
INC_100066,Alexandria Desert Road - km 21,2026-03-21,20:50:01,Accident,Major,Fainting / Sudden Illness,114,SOS: FAINTING / EMERGENCY!,29.7,34,6.0,Clear Sky,15,Heavy Traffic
INC_100067,Alexandria Desert Road - Carrefour,2026-03-06,23:43:01,Accident,Major,Phone Usage,97,DISTRACTED: PHONE USAGE!,37.5,30,2.4,Clear Sky,13,Heavy Traffic
INC_100068,October Bridge - Zamalek,2026-05-17,21:44:01,Accident,Moderate,Sudden Braking,55,STRESS / ANGER DETECTED!,21.1,58,6.0,Cloudy,15,Moderate Traffic
INC_100069,Nasr City - Mostafa El Nahas,2026-03-27,20:08:01,Accident,Fatal,Fainting / Sudden Illness,237,SOS: FAINTING / EMERGENCY!,35.1,40,6.9,Clear Sky,1,Heavy Traffic
INC_100070,Maadi - Degla,2026-05-18,00:37:01,Accident,Moderate,Sudden Braking,38,STRESS / ANGER DETECTED!,26.4,48,6.3,Clear Sky,19,Moderate Traffic
INC_100071,Nasr City - Abbas El Akkad,2026-06-21,18:17:01,Accident (Other Driver),Minor,Unknown,25,SAFE & FOCUSED,24.4,46,7.1,Clear Sky,26,Moderate Traffic
INC_100072,Downtown - Tahrir Sq,2026-08-18,23:54:01,Accident,Major,Phone Usage,74,DISTRACTED: PHONE USAGE!,32.0,59,7.6,Cloudy,4,Heavy Traffic
INC_100073,Corniche - San Stefano,2026-04-14,20:05:01,Accident,Fatal,Fainting / Sudden Illness,154,SOS: FAINTING / EMERGENCY!,34.2,64,7.2,Clear Sky,8,Heavy Traffic
INC_100074,Shubra - Ahmed Helmy,2026-07-07,00:35:01,Accident,Minor,Sudden Braking,15,STRESS / ANGER DETECTED!,36.8,62,4.0,Clear Sky,62,Free Flow
INC_100075,October Bridge - Al-Manial,2026-07-07,22:05:01,Accident,Major,Driver Fatigue,71,FATIGUE - YAWNING!,25.4,48,2.6,Clear Sky,10,Heavy Traffic
INC_100076,Corniche - Montaza,2026-08-23,01:18:01,Accident,Fatal,Fainting / Sudden Illness,208,SOS: FAINTING / EMERGENCY!,35.6,38,5.9,Clear Sky,10,Heavy Traffic
INC_100077,محور روض الفرج - الضبعة,2026-08-11,00:03:01,Vehicle Breakdown,Moderate,Slippery Road,49,SAFE & FOCUSED,21.8,82,12.8,Rainy,15,Moderate Traffic
INC_100078,Nasr City - Makram Ebeid,2026-04-18,01:58:01,Accident,Major,Driver Fatigue,91,FATIGUE - YAWNING!,23.6,58,5.7,Clear Sky,14,Heavy Traffic
INC_100079,El Galaa Bridge,2026-08-02,11:06:01,Accident,Major,Phone Usage,102,DISTRACTED: PHONE USAGE!,28.5,53,5.3,Clear Sky,7,Heavy Traffic
INC_100080,Heliopolis - Roxy Sq,2026-07-09,11:26:01,Accident,Major,Driver Fatigue,115,FATIGUE - YAWNING!,34.6,38,2.3,Cloudy,15,Heavy Traffic
INC_100081,Salah Salem - Citadel,2026-03-09,19:44:01,Accident,Major,Fainting / Sudden Illness,95,SOS: FAINTING / EMERGENCY!,32.1,38,4.8,Clear Sky,7,Heavy Traffic
INC_100082,Corniche - Maadi,2026-06-20,21:11:01,Accident,Moderate,Speeding,39,STRESS / ANGER DETECTED!,25.2,60,4.3,Cloudy,27,Moderate Traffic
INC_100083,Cairo International Stadium Area,2026-06-06,18:40:01,Accident,Minor,Lack of Attention,28,DISTRACTED: LOOKING AWAY!,37.6,49,2.4,Cloudy,76,Free Flow
INC_100084,Autostrad - Helwan,2026-04-06,22:57:01,Accident,Major,Driver Fatigue,61,DROWSY - SLEEPING!,23.8,50,7.1,Cloudy,1,Heavy Traffic
INC_100085,Helwan University Area,2026-06-17,11:41:01,Accident,Fatal,Fainting / Sudden Illness,154,SOS: FAINTING / EMERGENCY!,25.6,45,6.6,Clear Sky,13,Heavy Traffic
INC_100086,Cairo-Alexandria Desert Road - Smart Village,2026-04-11,09:04:01,Weather Condition,Moderate,Slippery Road,48,SAFE & FOCUSED,18.6,85,2.0,Foggy,25,Moderate Traffic
INC_100087,Ring Road - Marg,2026-03-15,18:23:01,Accident,Major,Driver Fatigue,104,DROWSY - SLEEPING!,36.9,50,4.0,Cloudy,7,Heavy Traffic
INC_100088,Helwan - Corniche,2026-03-29,23:16:01,Accident,Minor,Sudden Braking,16,STRESS / ANGER DETECTED!,23.4,56,5.6,Clear Sky,47,Free Flow
INC_100089,Downtown - Tahrir Sq,2026-04-17,13:17:01,Accident,Minor,Sudden Braking,28,STRESS / ANGER DETECTED!,23.2,53,7.8,Clear Sky,58,Free Flow
INC_100090,Ring Road - New Cairo Entrance,2026-06-11,09:07:01,Weather Condition,Minor,Engine Failure,15,SAFE & FOCUSED,14.5,96,0.9,Foggy,73,Free Flow
INC_100091,Cairo-Alexandria Desert Road - Smart Village,2026-04-09,14:18:01,Accident,Fatal,Driver Fatigue,193,DROWSY - SLEEPING!,37.0,48,5.5,Clear Sky,3,Heavy Traffic
INC_100092,Nasr City - Mostafa El Nahas,2026-03-06,03:31:01,Accident,Major,Fainting / Sudden Illness,110,SOS: FAINTING / EMERGENCY!,35.4,49,2.1,Clear Sky,4,Heavy Traffic
INC_100093,Cairo Festival City Area,2026-07-29,09:58:01,Accident,Major,Phone Usage,78,DISTRACTED: PHONE USAGE!,35.9,37,5.6,Clear Sky,15,Heavy Traffic
INC_100094,Wadi El Natrun Road,2026-05-29,12:49:01,Accident,Fatal,Fainting / Sudden Illness,226,SOS: FAINTING / EMERGENCY!,31.4,64,3.1,Clear Sky,14,Heavy Traffic
INC_100095,Haram Street - Giza Square,2026-05-11,02:45:01,Accident,Minor,Sudden Braking,29,STRESS / ANGER DETECTED!,26.6,30,7.0,Clear Sky,41,Free Flow
INC_100096,Ring Road - Marg,2026-04-06,13:53:01,Accident,Minor,Lack of Attention,21,DISTRACTED: LOOKING AWAY!,35.9,55,7.7,Cloudy,25,Moderate Traffic
INC_100097,Corniche - Citadel Qaitbay,2026-03-21,18:20:01,Accident (Other Driver),Minor,Engine Failure,17,SAFE & FOCUSED,36.9,56,3.5,Clear Sky,53,Free Flow
INC_100098,El Galaa Bridge,2026-08-14,08:39:01,Accident,Moderate,Phone Usage,48,DISTRACTED: PHONE USAGE!,30.6,43,5.5,Clear Sky,30,Moderate Traffic
INC_100099,Alexandria Desert Road - Carrefour,2026-05-10,06:10:01,Accident,Moderate,Sudden Braking,57,STRESS / ANGER DETECTED!,27.9,54,4.9,Cloudy,23,Moderate Traffic
INC_100100,Alexandria Agriculture Road Entrance,2026-03-30,00:59:01,Accident,Moderate,Driver Fatigue,38,DROWSY - SLEEPING!,29.4,55,3.1,Clear Sky,30,Moderate Traffic
INC_100101,October Bridge - Tahrir Sq,2026-07-08,07:25:01,Accident,Major,Phone Usage,61,DISTRACTED: PHONE USAGE!,26.4,48,7.3,Clear Sky,7,Heavy Traffic
INC_100102,Alexandria Desert Road - Carrefour,2026-04-13,08:53:01,Roadworks,Moderate,Slippery Road,49,SAFE & FOCUSED,12.3,97,0.8,Foggy,33,Moderate Traffic
INC_100103,Axis 26 July - Hyper One,2026-07-13,10:08:01,Accident,Minor,Lack of Attention,17,DISTRACTED: LOOKING AWAY!,33.1,37,7.2,Cloudy,32,Moderate Traffic
INC_100104,Nasr City - Abbas El Akkad,2026-04-29,12:16:01,Roadworks,Minor,Slippery Road,21,SAFE & FOCUSED,20.2,94,7.1,Rainy,31,Moderate Traffic
INC_100105,Ring Road - El Waraq,2026-06-27,13:13:01,Accident,Major,Fainting / Sudden Illness,78,SOS: FAINTING / EMERGENCY!,32.6,44,2.9,Cloudy,11,Heavy Traffic
INC_100106,Alexandria Desert Road - Carrefour,2026-05-04,04:52:01,Accident,Fatal,Driver Fatigue,132,DROWSY - SLEEPING!,25.5,41,3.7,Clear Sky,4,Heavy Traffic
INC_100107,New Cairo - Teseen Street South,2026-08-19,22:09:01,Accident,Moderate,Phone Usage,46,DISTRACTED: PHONE USAGE!,32.8,48,2.4,Cloudy,30,Moderate Traffic
INC_100108,King Faisal Street End,2026-05-18,08:50:01,Accident,Moderate,Driver Fatigue,57,FATIGUE - YAWNING!,28.6,33,7.0,Clear Sky,26,Moderate Traffic
INC_100109,Salah Salem - Panorama,2026-03-10,12:26:01,Roadworks,Minor,Unknown,18,SAFE & FOCUSED,21.7,30,6.5,Clear Sky,34,Moderate Traffic
INC_100110,Haram Street - Al Arish,2026-08-07,09:38:01,Accident,Major,Phone Usage,90,DISTRACTED: PHONE USAGE!,21.6,47,4.6,Clear Sky,4,Heavy Traffic
INC_100111,Downtown - Tahrir Sq,2026-05-31,06:31:01,Accident,Major,Phone Usage,84,DISTRACTED: PHONE USAGE!,31.8,56,4.7,Cloudy,12,Heavy Traffic
INC_100112,Haram Street - Giza Square,2026-07-18,20:28:01,Accident,Moderate,Driver Fatigue,52,DROWSY - SLEEPING!,24.4,49,2.4,Clear Sky,20,Moderate Traffic
INC_100113,Ring Road - Al Salam City,2026-05-10,08:42:01,Accident,Major,Fainting / Sudden Illness,89,SOS: FAINTING / EMERGENCY!,26.4,34,5.0,Clear Sky,10,Heavy Traffic
INC_100114,Ring Road - Mounib,2026-05-27,23:06:01,Accident,Moderate,Phone Usage,39,DISTRACTED: PHONE USAGE!,36.5,30,5.3,Clear Sky,16,Moderate Traffic
INC_100115,Corniche - Gleem,2026-06-03,17:14:01,Accident,Major,Fainting / Sudden Illness,76,SOS: FAINTING / EMERGENCY!,24.8,32,3.1,Clear Sky,15,Heavy Traffic
INC_100116,Heliopolis - Merghany,2026-03-25,21:45:01,Accident,Major,Driver Fatigue,64,DROWSY - SLEEPING!,22.9,53,6.2,Clear Sky,3,Heavy Traffic
INC_100117,Shubra - Ahmed Helmy,2026-06-25,06:57:01,Accident,Moderate,Phone Usage,39,DISTRACTED: PHONE USAGE!,25.7,53,2.6,Cloudy,34,Moderate Traffic
INC_100118,Mohandessin - Sudan St,2026-06-04,16:48:01,Accident,Moderate,Phone Usage,48,DISTRACTED: PHONE USAGE!,23.7,31,5.3,Clear Sky,20,Moderate Traffic
INC_100119,Corniche - Montaza,2026-06-26,01:38:01,Accident,Moderate,Driver Fatigue,42,FATIGUE - YAWNING!,37.3,52,6.9,Clear Sky,25,Moderate Traffic
INC_100120,October Bridge - Doqqi,2026-08-22,06:09:01,Accident,Fatal,Driver Fatigue,230,FATIGUE - YAWNING!,37.1,57,4.8,Cloudy,2,Heavy Traffic
INC_100121,Dokki - Mesaha Sq,2026-03-30,05:43:01,Accident,Minor,Sudden Braking,22,STRESS / ANGER DETECTED!,35.6,50,7.9,Cloudy,64,Free Flow
INC_100122,Shubra - Corniche,2026-04-24,23:29:01,Accident (Other Driver),Moderate,Engine Failure,45,SAFE & FOCUSED,34.2,33,2.7,Clear Sky,32,Moderate Traffic
INC_100123,محور روض الفرج - الضبعة,2026-05-22,19:37:01,Accident,Major,Driver Fatigue,110,DROWSY - SLEEPING!,29.0,64,7.2,Clear Sky,5,Heavy Traffic
INC_100124,Cairo International Stadium Area,2026-03-20,00:05:01,Accident,Moderate,Speeding,50,STRESS / ANGER DETECTED!,29.7,58,2.9,Clear Sky,30,Moderate Traffic
INC_100125,Heliopolis - El Khalifa El Mamoun,2026-07-25,22:05:01,Accident,Moderate,Phone Usage,42,DISTRACTED: PHONE USAGE!,37.0,57,5.1,Clear Sky,31,Moderate Traffic
INC_100126,Alexandria Agriculture Road Entrance,2026-05-23,08:39:01,Accident,Minor,Speeding,21,STRESS / ANGER DETECTED!,25.4,57,3.8,Cloudy,20,Moderate Traffic
INC_100127,October Bridge - Al-Manial,2026-05-13,08:38:01,Accident,Major,Phone Usage,106,DISTRACTED: PHONE USAGE!,26.7,62,2.6,Clear Sky,5,Heavy Traffic
INC_100128,Agricultural Road - Benha,2026-03-12,06:52:01,Vehicle Breakdown,Moderate,Engine Failure,48,SAFE & FOCUSED,31.4,46,6.9,Clear Sky,26,Moderate Traffic
INC_100129,Salah Salem - Al Azhar,2026-06-15,18:54:01,Accident,Major,Driver Fatigue,84,DROWSY - SLEEPING!,22.0,56,2.5,Clear Sky,7,Heavy Traffic
INC_100130,October Bridge - Al-Manial,2026-05-26,20:03:01,Accident,Minor,Lack of Attention,23,DISTRACTED: LOOKING AWAY!,21.1,38,5.3,Clear Sky,48,Free Flow
INC_100131,Giza - El Omraneya,2026-04-19,10:29:01,Accident,Moderate,Phone Usage,39,DISTRACTED: PHONE USAGE!,28.9,59,6.6,Clear Sky,24,Moderate Traffic
INC_100132,Ring Road - Marg,2026-08-27,01:20:01,Accident,Major,Driver Fatigue,120,FATIGUE - YAWNING!,30.6,59,6.7,Clear Sky,6,Heavy Traffic
INC_100133,Axis 26 July - Lebanon Sq,2026-03-21,10:24:01,Accident,Minor,Lack of Attention,21,DISTRACTED: LOOKING AWAY!,30.2,54,4.6,Cloudy,36,Moderate Traffic
INC_100134,Ring Road - Maadi,2026-07-22,23:54:01,Accident,Moderate,Driver Fatigue,54,DROWSY - SLEEPING!,30.6,65,7.3,Cloudy,32,Moderate Traffic
INC_100135,Downtown - Tahrir Sq,2026-05-23,00:49:01,Accident,Minor,Speeding,26,STRESS / ANGER DETECTED!,21.2,34,7.0,Clear Sky,34,Moderate Traffic
INC_100136,Nasr City - Makram Ebeid,2026-06-02,02:36:01,Accident,Major,Driver Fatigue,107,FATIGUE - YAWNING!,22.4,30,7.2,Clear Sky,7,Heavy Traffic
INC_100137,Abu Qir Road - Fleming,2026-06-08,17:00:01,Accident,Major,Fainting / Sudden Illness,66,SOS: FAINTING / EMERGENCY!,26.9,63,4.0,Clear Sky,1,Heavy Traffic
INC_100138,Haram Street - Al Arish,2026-08-12,16:31:01,Accident,Moderate,Phone Usage,40,DISTRACTED: PHONE USAGE!,35.4,59,5.1,Clear Sky,19,Moderate Traffic
INC_100139,New Cairo - Teseen Street North,2026-08-14,00:33:01,Accident,Fatal,Fainting / Sudden Illness,135,SOS: FAINTING / EMERGENCY!,30.9,51,7.5,Clear Sky,10,Heavy Traffic
INC_100140,Ring Road - Maadi,2026-07-25,09:35:01,Accident,Moderate,Driver Fatigue,46,FATIGUE - YAWNING!,27.4,46,6.0,Clear Sky,24,Moderate Traffic
INC_100141,Nasr City - Abbas El Akkad,2026-04-07,22:10:01,Accident,Moderate,Lack of Attention,39,DISTRACTED: LOOKING AWAY!,28.4,54,3.0,Clear Sky,24,Moderate Traffic
INC_100142,Corniche - Maadi,2026-05-15,02:14:01,Accident,Major,Driver Fatigue,60,FATIGUE - YAWNING!,35.1,40,7.4,Cloudy,7,Heavy Traffic
INC_100143,Corniche - Miami,2026-08-20,19:21:01,Accident,Major,Phone Usage,73,DISTRACTED: PHONE USAGE!,23.2,45,5.3,Clear Sky,15,Heavy Traffic
INC_100144,Faisal Street - El Talbeya,2026-05-05,20:15:01,Accident,Fatal,Driver Fatigue,212,FATIGUE - YAWNING!,37.9,38,7.1,Clear Sky,14,Heavy Traffic
INC_100145,Ring Road - Mariouteya,2026-04-18,02:17:01,Accident,Minor,Sudden Braking,27,STRESS / ANGER DETECTED!,32.7,36,7.2,Clear Sky,80,Free Flow
